"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"55";2;5;7;8;10;12;15;16;19;21;22;25;27;29;31;33;34;37;39;40;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;99;100;102;102;102;102;102;102;102;102;102
"56";2;5;7;8;10;12;15;16;19;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;114;114;118
"57";2;5;7;8;10;12;15;16;19;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;114;114;118
"58";2;5;7;8;10;12;15;16;19;21;22;25;27;29;31;33;34;37;39;40;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;99;100;102;102;102;102;102;102;102;102;102
"59";2;5;7;8;10;12;15;16;19;21;22;25;27;29;31;33;34;37;39;40;43;45;47;49;50;52;55;57;58;60;63;65;66;69;70;73;75;76;78;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81
"60";2;5;7;8;10;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
"61";2;5;7;8;10;12;15;16;19;21;22;25;27;29;31;33;34;37;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38
"62";2;5;7;8;10;12;15;16;19;21;22;25;27;29;31;33;34;37;39;40;43;45;47;49;50;52;55;57;58;60;63;65;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67;67
"63";2;5;7;8;10;12;15;16;19;21;22;25;27;29;31;33;34;37;39;40;43;45;47;49;50;52;55;57;58;60;63;65;66;69;70;73;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74
"64";2;5;7;8;10;12;15;16;19;21;22;25;27;29;31;33;34;37;39;40;43;45;47;49;50;52;55;57;58;60;63;65;66;69;70;73;75;76;78;80;83;85;87;89;91;92;95;96;96;96;96;96;96;96;96;96;96;96;96
"65";2;5;7;8;10;12;15;16;19;21;22;25;27;29;31;33;34;37;39;40;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;98;98;98;98;98;98;98;98;98;98;98
"66";2;5;7;8;10;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
"67";2;5;7;8;10;12;15;16;19;21;22;25;27;29;31;33;34;37;39;40;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;99;100;103;103;103;108;108;113;113;117;117
"68";2;5;7;8;10;12;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14
"69";2;5;7;8;10;12;15;16;19;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;114;114;118
"70";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"71";2;5;7;8;10;12;15;16;19;21;22;25;27;29;31;33;34;37;39;40;43;45;47;49;50;52;55;57;58;60;63;65;66;69;70;73;75;76;78;80;83;85;87;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88;88
"72";2;5;7;8;10;12;15;16;19;21;22;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24
