"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"158";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"159";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"160";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"161";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"162";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"163";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"164";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"165";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"166";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"167";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"168";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"169";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"170";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"171";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;39
"172";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"173";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"174";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"175";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"176";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"177";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"178";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"179";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"180";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"181";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"182";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"183";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"184";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"185";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"186";2;5;6;8;10;13;14;17;18;20;22;24;27;28;30;30;30;30;30
"187";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"188";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"189";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"190";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"191";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;39
"192";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"193";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"194";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"195";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"196";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"197";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"198";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"199";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"200";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"201";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"202";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"203";2;5;6;8;10;13;15;15;15;15;15;15;15;15;15;15;15;15;15
"204";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"205";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"206";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"207";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"208";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"209";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"210";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"211";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"212";2;5;6;8;10;13;14;17;18;20;22;24;26;26;26;26;26;26;26
"213";2;5;6;8;10;13;14;17;18;20;22;25;25;25;25;25;25;25;25
"214";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;39
"215";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"216";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"217";2;5;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"218";2;5;6;8;10;13;14;17;18;20;22;24;27;29;29;29;29;29;29
"219";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"220";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"221";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"222";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"223";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"224";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"225";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"226";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"227";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"228";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"229";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"230";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"231";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;39
"232";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"233";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;39
"234";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"235";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"236";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;39
"237";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"238";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"239";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"240";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"241";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"242";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;37;37
"243";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;39
"244";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;39
"245";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"246";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"247";2;5;6;8;10;13;14;17;18;20;22;25;25;25;25;25;25;25;25
"248";2;5;6;8;10;13;14;17;18;20;22;24;27;28;30;30;30;30;30
"249";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"250";2;5;6;8;10;13;14;17;18;20;22;25;25;25;25;25;25;25;25
"251";2;5;6;8;10;13;15;15;15;15;15;15;15;15;15;15;15;15;15
"252";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
"253";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"254";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"255";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"256";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"257";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"258";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"259";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"260";2;5;6;8;10;13;14;17;18;20;22;25;25;25;25;25;25;25;25
"261";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"262";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"263";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"264";2;5;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"265";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"266";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"267";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"268";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"269";2;5;6;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
"270";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"271";2;5;6;8;10;13;14;17;18;21;21;21;21;21;21;21;21;21;21
"272";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;39
"273";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"274";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"275";2;5;6;8;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12
"276";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"277";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"278";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"279";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"280";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"281";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
"282";2;5;6;8;10;13;14;17;18;20;22;24;27;28;31;32;35;36;38
