"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"99";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;60;60;60;60;60;60;60;60;60;60
"100";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"101";2;5;7;9;10;12;14;17;18;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
"102";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;72;74;77;79
"103";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;60;60;60;60;60;60;60;60;60;60
"104";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"105";2;5;7;9;10;12;14;17;18;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
"106";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;72;74;77;79
"107";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"108";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;72;74;77;79
"109";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50
"110";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;72;74;77;78
"111";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;72;74;77;79
"112";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42
"113";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49
"114";2;5;7;9;10;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
"115";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49;49
"116";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39
"117";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;60;60;60;60;60;60;60;60;60;60
"118";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;72;74;77;79
"119";2;5;7;9;10;12;14;17;18;21;22;25;26;29;30;32;34;37;38;40;43;44;46;48;51;52;55;57;58;61;62;65;66;68;70;72;74;77;79
"120";2;5;7;9;10;12;14;17;18;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20
