"";"classe 1";"classe 2"
"renaissance";-0,865;0,865
"reflection";-0,756;0,756
"point";7,088;-7,088
"panoramic";-0,865;0,865
"noon";-0,865;0,865
"moon";-0,865;0,865
"mccurry";-0,865;0,865
"lord";-0,865;0,865
"limmat";-0,865;0,865
"knight";-0,865;0,865
"kindkade";-0,323;0,323
"kincade";-0,865;0,865
"isometric";-0,865;0,865
"iron";-0,865;0,865
"imax";-0,865;0,865
"igor";55,528;-55,528
"howe";-0,865;0,865
"honore";-0,865;0,865
"hildebrandt";-0,431;0,431
"heavenly";14,897;-14,897
"half";-0,865;0,865
"gate";-0,865;0,865
"galic";-0,865;0,865
"fragonard";-0,865;0,865
"feature";-0,865;0,865
"end";-0,865;0,865
"effect";-0,865;0,865
"dungeon";-0,756;0,756
"dream";-0,865;0,865
"drape";-0,539;0,539
"depict";-0,865;0,865
"definition";-0,865;0,865
"condition";55,528;-55,528
"civilization";27,961;-27,961
"calm";-0,865;0,865
"area";-0,539;0,539
"american";-0,865;0,865
"america";-0,648;0,648
"air";-0,865;0,865
"zbrush";-0,756;0,756
"young";-0,648;0,648
"warren";65,412;-65,412
"vintage";-0,648;0,648
"timber";-0,756;0,756
"theatrical";-0,756;0,756
"ted";-0,756;0,756
"sunrise";-0,756;0,756
"storm";-0,756;0,756
"stoic";-0,756;0,756
"shiny";-0,431;0,431
"sand";-0,431;0,431
"romanticism";-0,756;0,756
"romantic";-0,756;0,756
"robot";-0,756;0,756
"regional";65,412;-65,412
"piranesi";-0,539;0,539
"overlook";-0,756;0,756
"noah";-0,756;0,756
"nasmith";-0,756;0,756
"mysterious";0,168;-0,168
"morski";65,412;-65,412
"model";-0,756;0,756
"luminescent";-0,756;0,756
"lovecraftian";-0,431;0,431
"lightning";-0,756;0,756
"levitan";-0,323;0,323
"imaginative";65,412;-65,412
"gonsalves";65,412;-65,412
"fortress";-0,756;0,756
"foliage";-0,756;0,756
"elevate";-0,431;0,431
"elden";-0,756;0,756
"dishonor";-0,323;0,323
"direction";-0,756;0,756
"de";-0,431;0,431
"complex";-0,756;0,756
"colosseum";-0,648;0,648
"clock";-0,756;0,756
"citadel";-0,756;0,756
"cartoon";-0,539;0,539
"canaletto";-0,648;0,648
"cafe";-0,756;0,756
"brussels";-0,756;0,756
"bradley";-0,756;0,756
