"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"ejsing";-0,172;-0,319;-0,157;-0,117;-0,513;-0,1;-0,146;1,559;-0,121;0,961
"dutch";175,776;-1,07;-0,526;-0,391;-1,717;-0,335;-0,49;-1,231;-0,405;-6,454
"david";-0,692;-0,023;0,291;-0,47;-2,063;-0,403;-0,589;-1,479;-0,487;9,952
"colonial";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;7,822
"cinema";-0,692;-1,285;-0,632;-0,47;18,606;-0,403;-0,589;6,271;-0,487;-4,8
"body";-0,634;16,395;-0,579;-0,43;14,221;-0,369;-0,539;-1,355;-0,446;-7,104
"blur";-0,634;-1,177;-0,579;-0,43;8,488;-0,369;-0,539;7,401;-0,446;-2,031
"bierstadt";-0,634;-1,177;-0,579;0,881;-1,89;-0,369;-0,539;-1,355;-0,446;12,505
"beeple";-0,692;-1,285;-0,632;-0,47;-2,063;-0,403;-0,589;-1,479;-0,487;18,859
"bavarian";-0,23;-0,426;-0,209;-0,156;-0,684;-0,134;-0,195;-0,49;99,657;-2,572
"autumn";31,024;-1,285;-0,632;-0,47;-2,063;-0,403;-0,589;-1,479;46,461;-2,55
"wind";-0,634;-1,177;-0,579;-0,43;-1,89;-0,369;-0,539;-1,355;181,012;-2,031
"waterway";-0,172;-0,319;-0,157;-0,117;-0,513;-0,1;-0,146;-0,368;-0,121;4,687
"social";-0,634;-1,177;-0,579;-0,43;64,952;-0,369;-0,539;-1,355;-0,446;-7,104
"slow";-0,634;-1,177;-0,579;-0,43;-1,89;332,579;-0,539;-1,355;-0,446;-7,104
"sing";-0,576;0,002;-0,526;-0,391;-1,717;-0,335;-0,49;15,852;-0,405;0,004
"ruan";-0,634;-1,177;-0,579;-0,43;51,864;-0,369;-0,539;-0,037;-0,446;-7,104
"ride";-0,172;-0,319;-0,157;-0,117;-0,513;-0,1;-0,146;-0,368;-0,121;4,687
"region";-0,634;84,33;-0,579;-0,43;-1,89;-0,369;-0,539;-0,037;-0,446;-7,104
"ralph";-0,23;-0,426;17,24;-0,156;-0,684;-0,134;-0,195;-0,49;-0,161;0,201
"quaint";-0,634;-1,177;-0,579;-0,43;-1,89;-0,369;-0,539;-1,355;225,695;-4,183
"pixiv";-0,634;-1,177;-0,579;-0,43;-1,89;-0,369;-0,539;43,624;-0,446;-0,648
"pennington";-0,345;-0,64;48,604;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;-0,083
"paper";-0,46;15,109;-0,42;-0,312;0,703;-0,268;-0,391;-0,983;1,611;-2,385
"otherworldly";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;7,822
"nice";-0,576;-1,07;-0,526;259,084;-1,717;-0,335;-0,49;-1,231;-0,405;-6,454
"mcquarrie";-0,23;-0,426;17,24;-0,156;-0,684;-0,134;-0,195;-0,49;-0,161;0,201
"masculine";-0,634;-1,177;-0,579;-0,43;64,952;-0,369;-0,539;-1,355;-0,446;-7,104
"magnificent";-0,23;-0,426;-0,209;-0,156;-0,684;-0,134;-0,195;0,822;-0,161;2,175
"jia";-0,634;-1,177;-0,579;-0,43;51,864;-0,369;-0,539;-0,037;-0,446;-7,104
"gloomy";-0,576;-1,07;-0,526;-0,391;-1,717;-0,335;-0,49;-1,231;-0,405;15,695
"galata";-0,634;-1,177;-0,579;-0,43;-1,89;-0,369;-0,539;90,595;-0,446;-7,104
"flat";-0,634;-1,177;-0,579;146,475;-1,89;-0,369;-0,539;-0,037;-0,446;-2,031
"fallout";-0,634;-1,177;-0,579;-0,43;-1,89;1,222;-0,539;73,052;-0,446;-7,104
"earth";-0,634;25,764;-0,579;-0,43;-1,89;-0,369;-0,539;-1,355;6,103;-0,648
"dof";-0,634;-1,177;-0,579;-0,43;14,221;-0,369;-0,539;7,401;-0,446;-4,183
"countryside";-0,634;-1,177;-0,579;233,856;-1,89;-0,369;-0,539;-1,355;-0,446;-4,183
"cottage";-0,46;-0,855;-0,42;-0,312;-1,372;-0,268;-0,391;0,021;-0,324;7,922
"cosmic";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;0,428;-0,202;3,53
"caspar";-0,634;-0,003;0,4;-0,43;-1,89;-0,369;-0,539;-1,355;-0,446;8,504
"bruce";-0,345;-0,64;48,604;-0,234;-1,027;-0,201;-0,293;-0,737;-0,242;-0,083
"beksinski";-0,634;-1,177;-0,579;-0,43;-1,89;-0,369;-0,539;3,06;-0,446;5,271
"battle";-0,287;-0,533;-0,262;-0,195;29,409;-0,167;-0,244;-0,613;-0,202;-3,217
"apocalyptic";-0,287;-0,533;-0,262;-0,195;-0,856;-0,167;-0,244;-0,613;-0,202;7,822
"alexander";-0,23;1,094;-0,209;56,574;-0,684;-0,134;-0,195;-0,49;-0,161;-2,572
"table";13,773;12,652;-0,473;-0,352;-0,087;-0,302;0,856;-1,107;-0,364;-5,805
