"";"V1"
"1646";6
"1647";11
"1648";14
"1649";1
"1650";1
"1651";12
"1652";12
"1653";9
"1654";7
"1655";7
"1656";2
"1657";8
"1658";12
"1659";14
"1660";5
"1661";0
"1662";0
"1663";14
"1664";12
"1665";1
"1666";0
"1667";5
"1668";12
"1669";8
"1670";14
"1671";9
"1672";8
"1673";10
"1674";3
"1675";13
"1676";0
"1677";6
"1678";10
"1679";0
"1680";7
"1681";14
"1682";2
"1683";2
"1684";10
"1685";9
"1686";3
"1687";11
"1688";9
"1689";3
"1690";2
"1691";8
"1692";12
"1693";10
"1694";2
"1695";0
"1696";12
"1697";13
"1698";12
"1699";8
"1700";9
"1701";4
"1702";8
"1703";5
"1704";2
"1705";3
"1706";1
"1707";0
"1708";14
"1709";7
"1710";3
"1711";14
"1712";3
"1713";12
"1714";0
"1715";8
"1716";0
"1717";14
"1718";4
"1719";5
"1720";10
"1721";13
"1722";0
"1723";5
"1724";3
"1725";12
"1726";6
"1727";5
"1728";9
"1729";14
"1730";0
"1731";12
"1732";2
"1733";2
"1734";7
"1735";0
"1736";8
"1737";3
"1738";12
"1739";2
"1740";8
"1741";12
"1742";0
"1743";0
"1744";0
"1745";14
"1746";4
"1747";7
"1748";1
"1749";7
"1750";12
"1751";8
"1752";1
"1753";5
"1754";0
"1755";0
"1756";12
"1757";3
"1758";11
"1759";3
"1760";7
"1761";12
"1762";7
"1763";8
"1764";9
"1765";0
"1766";12
"1767";12
"1768";12
"1769";14
"1770";5
"1771";12
"1772";3
"1773";14
"1774";14
"1775";5
"1776";5
"1777";0
"1778";4
"1779";6
"1780";5
"1781";12
"1782";0
"1783";3
"1784";6
"1785";0
"1786";5
"1787";8
"1788";0
"1789";0
"1790";5
"1791";2
"1792";5
"1793";14
"1794";10
"1795";10
"1796";0
"1797";14
"1798";6
"1799";1
"1800";7
"1801";11
"1802";0
"1803";2
"1804";0
"1805";10
"1806";14
"1807";14
"1808";12
"1809";2
"1810";0
"1811";9
"1812";13
"1813";0
"1814";9
"1815";8
"1816";10
"1817";12
"1818";0
"1819";14
"1820";5
"1821";6
"1822";14
"1823";6
"1824";5
"1825";2
"1826";0
"1827";14
"1828";0
"1829";5
"1830";7
"1831";7
"1832";7
"1833";12
"1834";11
"1835";12
"1836";6
"1837";11
"1838";1
"1839";6
"1840";6
"1841";8
"1842";12
"1843";0
"1844";11
"1845";0
"1846";5
"1847";5
"1848";8
"1849";1
"1850";12
"1851";3
"1852";6
"1853";12
"1854";12
"1855";9
"1856";8
"1857";2
"1858";14
"1859";12
"1860";1
"1861";11
"1862";7
"1863";7
"1864";13
"1865";9
"1866";9
"1867";0
"1868";9
"1869";7
"1870";10
"1871";13
"1872";10
"1873";1
"1874";0
"1875";13
"1876";2
"1877";0
"1878";12
"1879";3
"1880";1
"1881";12
"1882";10
"1883";3
"1884";9
"1885";11
"1886";14
"1887";11
"1888";12
"1889";5
"1890";8
"1891";0
"1892";2
"1893";2
"1894";10
"1895";8
"1896";10
"1897";7
"1898";2
"1899";1
